Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;A CORUÑA;51.6;67.6;80.4;65.6;79.2;53.2;1.2;12.0;87.2;99.2;100.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;ALBACETE;20.0;13.2;95.6;63.6;0.4;0.4;0.4;8.8;20.0;10.8;42.0;52.8
% Humedad del suelo sobre una capacidad de 25 mm;ALICANTE/ALACANT;16.8;4.4;90.0;56.4;2.0;1.6;0.4;8.0;42.0;16.0;22.8;32.4
% Humedad del suelo sobre una capacidad de 25 mm;ALMERIA;12.8;14.4;89.2;46.8;0.8;0.4;0.4;1.6;2.4;1.6;5.2;34.8
% Humedad del suelo sobre una capacidad de 25 mm;ARABA/ALAVA;94.0;58.0;82.0;77.2;6.8;10.0;0.8;12.8;63.6;23.6;96.8;86.4
% Humedad del suelo sobre una capacidad de 25 mm;ASTURIAS;66.0;67.6;93.6;69.2;51.2;54.4;2.8;55.6;92.4;69.2;97.2;93.2
% Humedad del suelo sobre una capacidad de 25 mm;AVILA;44.8;24.8;91.2;57.6;0.8;1.2;0.4;1.6;43.2;80.8;92.8;78.0
% Humedad del suelo sobre una capacidad de 25 mm;BADAJOZ;26.0;14.4;69.2;33.2;0.4;0.4;0.4;0.4;13.6;48.0;78.0;73.2
% Humedad del suelo sobre una capacidad de 25 mm;ILLES BALEARS;30.4;6.8;79.6;19.6;23.6;0.8;0.8;23.6;75.2;17.6;83.2;57.2
% Humedad del suelo sobre una capacidad de 25 mm;BARCELONA;25.2;16.0;94.0;53.6;28.0;8.4;38.4;76.0;40.8;20.0;38.0;67.6
% Humedad del suelo sobre una capacidad de 25 mm;BIZKAIA;96.4;76.8;96.8;76.0;22.4;64.0;1.2;35.6;99.2;54.4;98.4;72.8
% Humedad del suelo sobre una capacidad de 25 mm;BURGOS;68.4;38.0;79.2;69.6;3.2;5.6;0.4;12.0;23.2;50.0;94.8;90.0
% Humedad del suelo sobre una capacidad de 25 mm;CACERES;31.2;12.8;70.0;36.4;0.4;1.2;0.4;0.8;19.2;95.6;92.0;90.4
% Humedad del suelo sobre una capacidad de 25 mm;CADIZ;23.2;12.4;78.0;41.6;0.4;0.4;0.4;0.8;6.0;2.4;86.8;58.8
% Humedad del suelo sobre una capacidad de 25 mm;CANTABRIA;89.6;68.8;98.0;68.4;12.4;47.2;3.6;50.8;88.4;45.6;96.4;75.6
% Humedad del suelo sobre una capacidad de 25 mm;CASTELLON/CASTELLÓ;12.8;21.6;78.0;46.0;19.2;23.2;16.4;4.8;26.8;21.2;48.4;46.0
% Humedad del suelo sobre una capacidad de 25 mm;CEUTA;49.2;38.0;87.6;27.6;0.8;0.4;0.4;0.4;17.6;5.6;65.2;48.8
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD REAL;35.2;28.8;96.8;52.0;0.4;0.4;0.4;0.8;11.6;15.2;66.4;68.8
% Humedad del suelo sobre una capacidad de 25 mm;CORDOBA;25.6;30.8;85.6;46.8;0.4;0.4;0.4;0.4;6.4;22.0;56.0;63.2
% Humedad del suelo sobre una capacidad de 25 mm;CUENCA;36.0;29.6;90.0;74.8;0.8;0.4;5.2;8.4;25.6;24.4;78.4;73.6
% Humedad del suelo sobre una capacidad de 25 mm;GIPUZKOA;99.2;76.4;100.0;80.4;25.2;70.4;5.2;34.8;99.2;52.4;98.4;80.8
% Humedad del suelo sobre una capacidad de 25 mm;GIRONA;31.2;19.6;96.4;62.0;29.6;8.4;12.0;42.8;90.8;30.4;74.0;67.2
% Humedad del suelo sobre una capacidad de 25 mm;GRANADA;21.6;46.4;98.4;55.2;0.8;0.4;0.4;3.6;5.6;2.0;27.2;49.2
% Humedad del suelo sobre una capacidad de 25 mm;GUADALAJARA;46.4;22.0;94.4;76.0;3.2;1.2;1.6;6.4;26.0;51.6;92.4;83.6
