Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;A CORUÑA;79.9;87.5;88.1;86.0;66.8;72.8;13.2;17.5;73.5;99.7;100.0;100.0
% Humedad del suelo sobre una capacidad de 75 mm;ALBACETE;42.8;28.8;95.5;81.9;11.7;0.8;0.5;5.3;12.3;14.7;29.3;66.3
% Humedad del suelo sobre una capacidad de 75 mm;ALICANTE/ALACANT;25.2;14.0;96.5;72.8;15.5;3.5;0.9;5.1;37.9;38.5;39.3;47.3
% Humedad del suelo sobre una capacidad de 75 mm;ALMERIA;18.3;14.1;93.3;58.3;12.5;1.1;0.5;1.2;2.1;2.5;5.3;37.7
% Humedad del suelo sobre una capacidad de 75 mm;ARABA/ALAVA;97.2;82.1;90.1;90.0;31.1;14.5;3.9;7.7;31.7;22.3;90.4;94.8
% Humedad del suelo sobre una capacidad de 75 mm;ASTURIAS;86.7;87.1;94.5;88.4;59.5;70.8;20.1;53.5;80.5;79.2;98.9;97.5
% Humedad del suelo sobre una capacidad de 75 mm;AVILA;76.0;53.1;95.6;78.0;15.6;3.2;0.5;1.6;45.3;72.7;90.4;91.6
% Humedad del suelo sobre una capacidad de 75 mm;BADAJOZ;62.1;38.5;84.4;58.9;6.4;0.7;0.5;0.5;15.3;39.3;64.0;89.9
% Humedad del suelo sobre una capacidad de 75 mm;ILLES BALEARS;58.7;33.7;67.5;41.3;32.1;3.7;0.7;17.2;59.6;45.3;82.9;80.0
% Humedad del suelo sobre una capacidad de 75 mm;BARCELONA;58.9;42.9;90.9;67.2;42.8;14.5;19.9;57.7;48.3;35.5;37.7;67.3
% Humedad del suelo sobre una capacidad de 75 mm;BIZKAIA;98.4;91.3;95.2;91.2;45.7;52.3;11.1;23.6;97.6;59.6;99.5;87.7
% Humedad del suelo sobre una capacidad de 75 mm;BURGOS;87.1;68.7;89.7;85.5;24.8;10.1;1.9;7.2;13.9;38.4;89.7;96.3
% Humedad del suelo sobre una capacidad de 75 mm;CACERES;66.8;41.6;88.0;61.9;7.7;1.7;0.5;0.7;22.5;84.9;95.2;96.5
% Humedad del suelo sobre una capacidad de 75 mm;CADIZ;57.3;33.3;91.2;62.9;9.3;1.1;0.4;0.5;3.6;2.9;58.4;83.6
% Humedad del suelo sobre una capacidad de 75 mm;CANTABRIA;95.6;86.9;97.7;87.5;36.0;42.8;11.9;45.2;77.7;60.7;98.3;89.7
% Humedad del suelo sobre una capacidad de 75 mm;CASTELLON/CASTELLÓ;34.5;26.5;91.7;73.6;32.7;16.3;11.2;4.9;25.5;35.6;74.1;72.0
% Humedad del suelo sobre una capacidad de 75 mm;CEUTA;68.4;46.1;94.7;53.5;10.0;1.3;0.5;0.5;6.8;6.5;63.6;78.5
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD REAL;68.5;48.8;93.9;75.5;9.2;0.8;0.5;0.9;6.8;13.9;45.5;88.0
% Humedad del suelo sobre una capacidad de 75 mm;CORDOBA;61.6;43.3;94.3;74.7;9.6;0.7;0.5;0.7;6.4;18.9;38.7;85.3
% Humedad del suelo sobre una capacidad de 75 mm;CUENCA;69.7;51.1;91.9;79.9;12.3;1.3;2.4;6.4;20.4;26.5;64.9;89.9
% Humedad del suelo sobre una capacidad de 75 mm;GIPUZKOA;99.6;91.3;99.3;92.9;45.9;63.2;20.7;34.8;92.0;58.8;99.5;91.6
% Humedad del suelo sobre una capacidad de 75 mm;GIRONA;65.2;47.6;98.0;79.1;41.6;13.5;7.1;42.9;86.9;62.0;73.3;80.1
% Humedad del suelo sobre una capacidad de 75 mm;GRANADA;37.5;38.4;98.0;71.7;11.2;1.1;0.5;1.9;3.5;3.1;15.5;69.2
% Humedad del suelo sobre una capacidad de 75 mm;GUADALAJARA;77.2;54.1;97.6;89.7;19.7;2.8;1.3;4.7;19.5;44.8;84.8;94.0
% Humedad del suelo sobre una capacidad de 75 mm;HUELVA;56.3;30.8;88.5;56.7;8.0;0.8;0.5;0.5;14.7;38.9;60.1;87.9
% Humedad del suelo sobre una capacidad de 75 mm;HUESCA;69.5;53.7;70.8;72.4;19.6;24.8;18.0;31.7;41.6;63.5;80.7;91.6
% Humedad del suelo sobre una capacidad de 75 mm;JAEN;62.1;43.5;93.1;70.3;9.6;1.1;0.5;0.5;10.0;13.6;41.6;83.3
% Humedad del suelo sobre una capacidad de 75 mm;LA RIOJA;81.9;59.1;81.7;82.8;22.5;5.1;2.3;10.9;14.5;23.1;62.7;87.3
